taxa,k_out,n_trees,size1,size2,prod,time
ABCDEFGHIJK,3,49,318,315,100170,2.3186478582499603
ABCDEFGHIJK,3,64,399,405,161595,4.295010803562491
ABCDEFGHIJK,3,81,472,496,234112,5.962385184374966
ABCDEFGHIJK,3,100,593,594,352242,10.206793071062407
ABCDEFGHIJK,4,1,6,6,36,0.0032627881874986997
ABCDEFGHIJK,4,4,24,24,576,0.061816081687538826
ABCDEFGHIJK,4,9,53,53,2809,0.2398045960625268
ABCDEFGHIJK,4,16,94,89,8366,1.051683777749986
ABCDEFGHIJK,4,25,136,138,18768,3.3657159193750203
ABCDEFGHIJK,4,36,194,190,36860,8.481585178374985
ABCDEFGHIJK,4,49,244,241,58804,13.139740896812555
ABCDEFGHIJK,4,64,325,313,101725,24.575864912187512
ABCDEFGHIJK,4,81,372,385,143220,47.513251620437586
ABCDEFGHIJK,4,100,438,450,197100,73.65668390250016
