sscl1,sscl2,n,a,b,c1,c2,astar,bstar,cstar1,cstar2
ACDKL/BE,FHKL/GIJ,1,True,True,False,False,True,True,True,True
ABCDKL/E,FHKL/J,1,True,True,False,False,True,True,True,True
CDEKL/AB,GIKL/FJ,1,True,True,False,False,True,True,True,True
BCDE/AKL,I/FGHJKL,3,True,True,True,True,True,True,False,False
CDEL/ABK,GIL/HK,1,True,True,True,True,True,True,True,True
ABDEKL/C,FHIKL/GJ,1,True,True,False,False,True,True,True,True
/ABCDEKL,GI/HKL,1,True,True,True,True,False,True,False,False
CDEKL/AB,FH/J,1,True,True,False,False,True,True,True,False
AK/BCDEL,HK/IL,1,True,True,True,True,True,True,True,True
ACDKL/BE,FHJKL/I,1,True,True,False,False,True,True,True,True
ABEKL/CD,FGHIKL/,1,True,False,False,False,True,True,True,True
BDE/ACKL,I/FHJKL,3,True,True,True,True,True,True,False,False
BE/ACDKL,F/HIKL,3,True,True,True,True,True,True,False,False
BCDEL/AK,FH/K,1,True,False,True,True,True,True,True,False
ABCKL/DE,FHIJKL/G,1,True,True,False,False,True,True,True,True
ACDKL/BE,I/,1,True,False,False,False,True,True,True,False
AKL/BCDE,FGIJ/,1,True,False,False,False,True,True,True,False
ABKL/CDE,F/H,1,True,True,False,False,True,True,True,False
CKL/ABDE,FHJ/G,1,True,True,False,False,True,True,True,False
ABCDKL/E,HKL/FJ,1,True,True,False,False,True,True,True,True
CKL/ABDE,IKL/,1,True,False,False,False,True,True,True,True
BCDE/AKL,FHJ/IKL,3,True,True,True,True,True,True,False,False
ABCEKL/D,HKL/FGJ,1,True,True,False,False,True,True,True,True
/ABCDEKL,G/FHIJKL,1,True,True,True,True,False,True,False,False
ABEK/CDL,GI/L,1,True,False,True,True,True,True,True,False
ABCEKL/D,FHIKL/G,1,True,True,False,False,True,True,True,True
ABKL/CDE,GIJ/,1,True,False,False,False,True,True,True,False
AKL/BCDE,H/FJ,1,True,True,False,False,True,True,True,False
ABCKL/DE,GIJ/F,1,True,True,False,False,True,True,True,False
BCDEKL/A,HIKL/FGJ,1,True,True,False,False,True,True,True,True
CDEL/ABK,J/FHK,1,True,True,True,True,True,True,True,False
ACKL/BDE,FGHIKL/J,1,True,True,False,False,True,True,True,True
ABKL/CDE,F/GJ,1,True,True,False,False,True,True,True,False
ACDKL/BE,F/,1,True,False,False,False,True,True,True,False
CDKL/ABE,FJ/,1,True,False,False,False,True,True,True,False
BCDEL/AK,IL/FHJK,1,True,True,True,True,True,True,True,True
ABCEKL/D,HKL/I,1,True,True,False,False,True,True,True,True
ACDKL/BE,FGIJKL/H,1,True,True,False,False,True,True,True,True
/ABCDEKL,I/HKL,1,True,True,True,True,False,True,False,False
CKL/ABDE,H/FGJ,1,True,True,False,False,True,True,True,False
CDEKL/AB,GJ/,1,True,False,False,False,True,True,True,False
ABEKL/CD,I/FGJ,1,True,True,False,False,True,True,True,False
ABEKL/CD,FGHIKL/J,1,True,True,False,False,True,True,True,True
ABDEK/CL,FHK/GIL,1,True,True,True,True,True,True,True,True
ABDE/CKL,FGIJ/HKL,3,True,True,True,True,True,True,False,False
KL/ABCDE,FGHJKL/I,1,True,True,False,False,False,True,True,True
KL/ABCDE,HIKL/FJ,1,True,True,False,False,False,True,True,True
CDKL/ABE,HIKL/G,1,True,True,False,False,True,True,True,True
ABCKL/DE,KL/I,1,True,True,False,False,True,False,True,True
ABEKL/CD,HKL/I,1,True,True,False,False,True,True,True,True
ABCDE/KL,/FGHIJKL,1,False,True,True,True,True,False,False,False
ACKL/BDE,FHJ/,1,True,False,False,False,True,True,True,False
ABEKL/CD,I/,1,True,False,False,False,True,True,True,False
CDEKL/AB,FHJKL/,1,True,False,False,False,True,True,True,True
ABEKL/CD,HKL/,1,True,False,False,False,True,True,True,True
ACDKL/BE,HIKL/,1,True,False,False,False,True,True,True,True
ABDE/CKL,/FGHIJKL,1,True,True,True,True,True,False,False,False
ABDEKL/C,FHKL/J,1,True,True,False,False,True,True,True,True
ABK/CDEL,FGHIJK/L,1,True,False,True,True,True,True,True,True
BCDEKL/A,FHKL/GIJ,1,True,True,False,False,True,True,True,True
A/BCDEKL,I/FHKL,3,True,True,True,True,True,True,False,False
KL/ABCDE,FH/GJ,1,True,True,False,False,False,True,True,False
ABCDEKL/,HIKL/FGJ,1,False,True,False,False,True,True,True,True
ACKL/BDE,F/GIJ,1,True,True,False,False,True,True,True,False
AKL/BCDE,HIKL/F,1,True,True,False,False,True,True,True,True
CDKL/ABE,G/,1,True,False,False,False,True,True,True,False
ABCKL/DE,I/G,1,True,True,False,False,True,True,True,False
ABDEKL/C,IKL/FGHJ,1,True,True,False,False,True,True,True,True
CKL/ABDE,FH/GJ,1,True,True,False,False,True,True,True,False
ABCKL/DE,HKL/GI,1,True,True,False,False,True,True,True,True
BCDEKL/A,GHIKL/FJ,1,True,True,False,False,True,True,True,True
ABCKL/DE,F/,1,True,False,False,False,True,True,True,False
BE/ACDKL,H/KL,3,True,False,True,True,True,True,False,False
KL/ABCDE,GJ/,1,True,False,False,False,False,True,True,False
KL/ABCDE,I/FGJ,1,True,True,False,False,False,True,True,False
CKL/ABDE,FHKL/GIJ,1,True,True,False,False,True,True,True,True
ACKL/BDE,HKL/FGIJ,1,True,True,False,False,True,True,True,True
ABK/CDEL,G/IL,1,True,True,True,True,True,True,True,False
ABEKL/CD,KL/FH,1,True,True,False,False,True,False,True,True
ACKL/BDE,IKL/FGHJ,1,True,True,False,False,True,True,True,True
KL/ABCDE,KL/H,1,True,True,False,False,False,False,True,True
ABKL/CDE,H/,1,True,False,False,False,True,True,True,False
ABEKL/CD,FHKL/GI,1,True,True,False,False,True,True,True,True
KL/ABCDE,GIJ/,1,True,False,False,False,False,True,True,False
CDKL/ABE,HKL/FJ,1,True,True,False,False,True,True,True,True
ABCKL/DE,HKL/I,1,True,True,False,False,True,True,True,True
ABCEKL/D,FGIJKL/H,1,True,True,False,False,True,True,True,True
BCDEL/AK,L/FHK,1,True,True,True,True,True,False,True,True
KL/ABCDE,IKL/,1,True,False,False,False,False,True,True,True
E/ABCDKL,FHJ/KL,3,True,False,True,True,True,True,False,False
ABDEK/CL,FJ/GIL,1,True,True,True,True,True,True,True,False
/ABCDEKL,GI/FHJKL,1,True,True,True,True,False,True,False,False
ABEKL/CD,H/FJ,1,True,True,False,False,True,True,True,False
KL/ABCDE,F/H,1,True,True,False,False,False,True,True,False
