taxa,k_out,n_trees,size1,size2,prod,mut_size,time
ABCDEFGHIJ,1,1,8,8,64,13,0.0015505615999927614
ABCDEFGHIJ,2,1,7,7,49,53,0.005214642999999341
ABCDEFGHIJ,3,1,6,6,36,63,0.005757312599985198
ABCDEFGHIJ,4,1,5,5,25,205,0.018257561199993687
ABCDEFGHIJ,5,1,4,4,16,745,0.06640125940000416
ABCDEFGHIJ,1,4,31,31,961,45,0.006512136800006374
ABCDEFGHIJ,2,4,24,23,552,97,0.013458269800003109
ABCDEFGHIJ,3,4,24,22,528,384,0.05018862299998546
ABCDEFGHIJ,4,4,15,17,255,958,0.11920226380000258
ABCDEFGHIJ,5,4,9,8,72,2076,0.21748404200000096
ABCDEFGHIJ,1,9,46,46,2116,98,0.013732579799989254
ABCDEFGHIJ,2,9,49,44,2156,151,0.02300437899998542
ABCDEFGHIJ,3,9,36,41,1476,432,0.07106994359999134
ABCDEFGHIJ,4,9,32,24,768,1617,0.2600117946000182
ABCDEFGHIJ,5,9,18,14,252,5769,0.7307352498
ABCDEFGHIJ,1,16,96,96,9216,159,0.02886014220000561
ABCDEFGHIJ,2,16,71,63,4473,215,0.04920892039999671
ABCDEFGHIJ,3,16,66,43,2838,760,0.165751272600005
ABCDEFGHIJ,4,16,35,27,945,2088,0.3429334953999842
ABCDEFGHIJ,5,16,33,14,462,9186,1.4491020568000068
ABCDEFGHIJ,1,25,128,128,16384,258,0.05102135060001274
ABCDEFGHIJ,2,25,108,89,9612,331,0.08975096120000217
ABCDEFGHIJ,3,25,83,67,5561,1011,0.2718477517999872
ABCDEFGHIJ,4,25,45,32,1440,2468,0.49640885199999046
ABCDEFGHIJ,5,25,31,18,558,10464,1.7078027076000126
ABCDEFGHIJ,1,36,142,142,20164,240,0.05196460859999661
ABCDEFGHIJ,2,36,116,106,12296,402,0.12577410799999597
ABCDEFGHIJ,3,36,79,57,4503,964,0.22955675939999765
ABCDEFGHIJ,4,36,65,34,2210,2790,0.6118609846000027
ABCDEFGHIJ,5,36,33,18,594,10796,1.7293079477999982
ABCDEFGHIJ,1,49,178,178,31684,350,0.0768025358000159
ABCDEFGHIJ,2,49,130,114,14820,389,0.10212719920000382
ABCDEFGHIJ,3,49,117,62,7254,1223,0.3393208589999858
ABCDEFGHIJ,4,49,66,36,2376,3016,0.6861101552000036
ABCDEFGHIJ,5,49,36,14,504,9765,1.5192591131999962
ABCDEFGHIJ,1,64,217,217,47089,422,0.10322542279998288
ABCDEFGHIJ,2,64,149,124,18476,457,0.1444621906000066
ABCDEFGHIJ,3,64,109,87,9483,1387,0.43377001280000516
ABCDEFGHIJ,4,64,65,44,2860,3398,1.2870243183999945
ABCDEFGHIJ,5,64,33,14,462,9186,1.5739920168000026
ABCDEFGHIJK,1,1,9,9,81,14,0.0017708917999925688
ABCDEFGHIJK,2,1,8,8,64,54,0.004976789400006965
ABCDEFGHIJK,3,1,7,7,49,28,0.003101510800001961
ABCDEFGHIJK,4,1,6,6,36,22,0.0025650595999877623
ABCDEFGHIJK,5,1,5,5,25,592,0.05696620820001499
ABCDEFGHIJK,1,4,35,35,1225,56,0.008496369799991044
ABCDEFGHIJK,2,4,30,31,930,89,0.011355473599996913
ABCDEFGHIJK,3,4,27,25,675,233,0.03377524159998302
ABCDEFGHIJK,4,4,22,19,418,511,0.06837053540000397
ABCDEFGHIJK,5,4,20,10,200,2122,0.2648711004000006
ABCDEFGHIJK,1,9,68,68,4624,97,0.018527797000001556
ABCDEFGHIJK,2,9,51,54,2754,160,0.030924254000001383
ABCDEFGHIJK,3,9,45,50,2250,419,0.08898315520000324
ABCDEFGHIJK,4,9,34,25,850,477,0.08588587679998909
ABCDEFGHIJK,5,9,28,23,644,4713,0.8697991354000123
ABCDEFGHIJK,1,16,105,105,11025,158,0.03742028619999473
ABCDEFGHIJK,2,16,90,86,7740,238,0.06791474659999039
ABCDEFGHIJK,3,16,87,79,6873,717,0.1919397900000149
ABCDEFGHIJK,4,16,57,41,2337,1880,0.4799957826000082
ABCDEFGHIJK,5,16,46,26,1196,7255,1.5103014481999935
ABCDEFGHIJK,1,25,140,140,19600,228,0.05392659899998762
ABCDEFGHIJK,2,25,121,114,13794,369,0.11873527079999349
ABCDEFGHIJK,3,25,96,91,8736,931,0.2918767011999989
ABCDEFGHIJK,4,25,62,64,3968,2316,0.6921792288000006
ABCDEFGHIJK,5,25,45,36,1620,8426,1.9349641496000003
ABCDEFGHIJK,1,36,203,203,41209,344,0.08593872799999644
ABCDEFGHIJK,2,36,151,138,20838,411,0.1375988118000123
ABCDEFGHIJK,3,36,141,100,14100,1110,0.43302149699998155
ABCDEFGHIJK,4,36,92,55,5060,2740,0.8881570367999985
ABCDEFGHIJK,5,36,59,31,1829,9040,2.2451524982000137
ABCDEFGHIJK,1,49,218,218,47524,368,0.10423708260000239
ABCDEFGHIJK,2,49,178,158,28124,456,0.1691511313999854
ABCDEFGHIJK,3,49,140,122,17080,1294,0.5492734292000023
ABCDEFGHIJK,4,49,92,74,6808,3434,1.1748046116000068
ABCDEFGHIJK,5,49,67,32,2144,9912,2.6359335214000112
ABCDEFGHIJK,1,64,273,273,74529,452,0.13262755619998642
ABCDEFGHIJK,2,64,189,158,29862,531,0.19613588579998123
ABCDEFGHIJK,3,64,181,122,22082,1683,0.7686064687999987
ABCDEFGHIJK,4,64,108,63,6804,3283,1.2408582782000166
ABCDEFGHIJK,5,64,66,38,2508,10676,2.990574687200001
ABCDEFGHIJKL,1,1,10,10,100,15,0.0019798598000079436
ABCDEFGHIJKL,2,1,9,9,81,55,0.005465717399988535
ABCDEFGHIJKL,3,1,8,8,64,189,0.01839455000001635
ABCDEFGHIJKL,4,1,7,7,49,35,0.004162274200007232
ABCDEFGHIJKL,5,1,6,6,36,543,0.04862353139999413
ABCDEFGHIJKL,6,1,5,5,25,1181,0.12001786820001144
ABCDEFGHIJKL,1,4,39,39,1521,56,0.008708142600016799
ABCDEFGHIJKL,2,4,31,31,961,90,0.014128324599982988
ABCDEFGHIJKL,3,4,29,27,783,312,0.048487319999981085
ABCDEFGHIJKL,4,4,27,24,648,931,0.15496607099998982
ABCDEFGHIJKL,5,4,23,17,391,1453,0.21932953259999977
ABCDEFGHIJKL,6,4,19,12,228,6402,0.7804032212000038
ABCDEFGHIJKL,1,9,77,77,5929,107,0.01850014399999509
ABCDEFGHIJKL,2,9,59,49,2891,176,0.03273874760000126
ABCDEFGHIJKL,3,9,57,58,3306,363,0.07195810700000038
ABCDEFGHIJKL,4,9,46,42,1932,1399,0.30525937360000627
ABCDEFGHIJKL,5,9,43,20,860,3764,0.6135877216000154
