taxa,k_out,n_trees,size1,size2,prod,mut_size,time
ABCDEFGHIJKL,6,9,28,25,700,14119,2.454220060800003
ABCDEFGHIJKL,1,16,118,118,13924,166,0.03855600740000682
ABCDEFGHIJKL,2,16,100,96,9600,252,0.0724739960000079
ABCDEFGHIJKL,3,16,99,88,8712,682,0.21627837099999853
ABCDEFGHIJKL,4,16,74,62,4588,2057,0.6227913517999923
ABCDEFGHIJKL,5,16,54,44,2376,4715,1.1375344410000026
ABCDEFGHIJKL,6,16,40,26,1040,19459,3.6891192014000125
ABCDEFGHIJKL,1,25,185,185,34225,257,0.06401837599998998
ABCDEFGHIJKL,2,25,131,139,18209,338,0.09624636959999862
ABCDEFGHIJKL,3,25,115,125,14375,868,0.3243703145999916
ABCDEFGHIJKL,4,25,107,67,7169,2458,0.8645225188000041
ABCDEFGHIJKL,5,25,82,54,4428,7194,2.253235805999998
ABCDEFGHIJKL,6,25,59,29,1711,28444,6.491852643000016
ABCDEFGHIJKL,1,36,214,214,45796,322,0.08339928319999217
ABCDEFGHIJKL,2,36,187,175,32725,447,0.17005943100000423
ABCDEFGHIJKL,3,36,163,120,19560,1107,0.48664988319999336
ABCDEFGHIJKL,4,36,143,87,12441,3370,1.531368026400014
ABCDEFGHIJKL,5,36,91,61,5551,8548,2.892323920800004
ABCDEFGHIJKL,6,36,60,29,1740,28583,6.578709101000004
ABCDEFGHIJKL,1,49,257,257,66049,416,0.11936152539997238
ABCDEFGHIJKL,2,49,215,193,41495,473,0.19195560699999986
ABCDEFGHIJKL,3,49,186,155,28830,1375,0.7136672471999645
ABCDEFGHIJKL,4,49,131,102,13362,2988,1.2624186328000178
ABCDEFGHIJKL,5,49,105,67,7035,10294,3.8667096870000024
ABCDEFGHIJKL,6,49,65,29,1885,30884,7.33000625640002
ABCDEFGHIJKL,1,64,332,332,110224,553,0.17449378840001373
ABCDEFGHIJKL,2,64,260,237,61620,592,0.23566246800000953
ABCDEFGHIJKL,3,64,184,173,31832,1492,0.7460146749999694
ABCDEFGHIJKL,4,64,162,118,19116,3910,2.0059700907999742
ABCDEFGHIJKL,5,64,95,66,6270,9276,3.1477967673999956
ABCDEFGHIJKL,6,64,76,29,2204,34791,8.960559441400028
ABCDEFGHIJKLM,1,1,11,11,121,16,0.001929798600031063
ABCDEFGHIJKLM,2,1,10,10,100,54,0.005119132000027093
ABCDEFGHIJKLM,3,1,9,9,81,30,0.0035250945999905524
ABCDEFGHIJKLM,4,1,8,8,64,12,0.0016022331999920425
ABCDEFGHIJKLM,5,1,7,7,49,758,0.07184985260000758
ABCDEFGHIJKLM,6,1,6,6,36,582,0.049820310799987055
ABCDEFGHIJKLM,1,4,42,42,1764,58,0.008734341199988194
ABCDEFGHIJKLM,2,4,36,36,1296,104,0.014329491399985272
ABCDEFGHIJKLM,3,4,33,31,1023,225,0.0317736221999894
ABCDEFGHIJKLM,4,4,28,27,756,492,0.07411190519997035
ABCDEFGHIJKLM,5,4,26,26,676,1060,0.14076336200000697
ABCDEFGHIJKLM,6,4,21,19,399,4042,0.586213078999981
ABCDEFGHIJKLM,1,9,79,79,6241,131,0.02464688439999918
ABCDEFGHIJKLM,2,9,76,75,5700,213,0.05181973239996296
ABCDEFGHIJKLM,3,9,61,61,3721,538,0.14416137339999296
ABCDEFGHIJKLM,4,9,57,41,2337,833,0.16531992000000173
ABCDEFGHIJKLM,5,9,53,35,1855,3049,0.6523500352000156
ABCDEFGHIJKLM,6,9,32,33,1056,9363,1.7469252191999658
ABCDEFGHIJKLM,1,16,138,138,19044,207,0.04565115939999487
ABCDEFGHIJKLM,2,16,123,118,14514,284,0.08823965059996226
ABCDEFGHIJKLM,3,16,95,88,8360,696,0.19557225100002143
ABCDEFGHIJKLM,4,16,94,74,6956,2078,0.7199679981999907
ABCDEFGHIJKLM,5,16,60,56,3360,3957,1.0629509987999881
ABCDEFGHIJKLM,6,16,44,41,1804,12560,2.8153940912000053
ABCDEFGHIJKLM,1,25,192,192,36864,277,0.06719281919999957
ABCDEFGHIJKLM,2,25,171,166,28386,389,0.13441633639999964
ABCDEFGHIJKLM,3,25,142,126,17892,884,0.3955793996000011
ABCDEFGHIJKLM,4,25,114,97,11058,2318,0.8844218042000194
ABCDEFGHIJKLM,5,25,102,75,7650,7944,3.006733522400009
ABCDEFGHIJKLM,6,25,68,42,2856,18087,5.0726971584000236
ABCDEFGHIJKLM,1,36,252,252,63504,356,0.11057817460000478
ABCDEFGHIJKLM,2,36,174,181,31494,392,0.13356071040002462
ABCDEFGHIJKLM,3,36,195,153,29835,1005,0.5055138709999938
ABCDEFGHIJKLM,4,36,156,131,20436,3051,1.5376381477999985
ABCDEFGHIJKLM,5,36,113,96,10848,8807,3.912097242200025
ABCDEFGHIJKLM,6,36,83,47,3901,19900,6.542065908199993
ABCDEFGHIJKLM,1,49,291,291,84681,402,0.11852955859999384
ABCDEFGHIJKLM,2,49,272,242,65824,575,0.2532865650000076
ABCDEFGHIJKLM,3,49,222,196,43512,1363,0.8373586508000244
ABCDEFGHIJKLM,4,49,170,149,25330,3444,1.9214018977999785
ABCDEFGHIJKLM,5,49,139,98,13622,9859,4.7426528731999955
ABCDEFGHIJKLM,6,49,89,56,4984,25384,8.70700128640001
ABCDEFGHIJKLM,1,64,373,373,139129,567,0.20150778879997233
ABCDEFGHIJKLM,2,64,301,279,83979,669,0.32204822959997725
ABCDEFGHIJKLM,3,64,247,231,57057,1575,0.8624096434000421
ABCDEFGHIJKLM,4,64,210,144,30240,4139,2.6245118223999726
ABCDEFGHIJKLM,5,64,179,107,19153,11372,6.28316440640001
ABCDEFGHIJKLM,6,64,105,60,6300,27566,10.293223112799978
