sscl1,sscl2,n,a,b,c1,c2,astar,bstar,cstar1,cstar2
CDEKL/AB,GKL/FH,1,True,True,False,False,True,True,True,True
/ABCDEKL,H/GKL,1,True,True,True,True,False,True,False,False
AL/BCDEK,GL/FHIJK,1,True,True,True,True,True,True,True,True
DEKL/ABC,J/I,1,True,True,False,False,True,True,True,False
L/ABCDEK,FGHL/IJK,1,True,True,True,True,False,True,True,True
ABCEK/DL,FIJK/GHL,1,True,True,True,True,True,True,True,True
EK/ABCDL,K/GHL,1,True,True,True,True,True,False,True,True
CDEKL/AB,J/I,1,True,True,False,False,True,True,True,False
ABCK/DEL,IK/GHL,1,True,True,True,True,True,True,True,True
ABCDL/EK,FGHIJL/K,1,True,False,True,True,True,True,True,True
DEKL/ABC,FGHIKL/,1,True,False,False,False,True,True,True,True
BCEK/ADL,IK/FGHJL,1,True,True,True,True,True,True,True,True
DEKL/ABC,F/H,1,True,True,False,False,True,True,True,False
BCDEKL/A,FGHKL/IJ,1,True,True,False,False,True,True,True,True
ABCDEK/L,K/GL,1,False,True,True,True,True,False,True,True
DEKL/ABC,GHKL/I,1,True,True,False,False,True,True,True,True
DEL/ABCK,GL/IJK,1,True,True,True,True,True,True,True,True
ABCDEK/L,K/GHL,1,False,True,True,True,True,False,True,True
ABCDL/EK,I/K,1,True,False,True,True,True,True,True,False
AL/BCDEK,J/IK,1,True,True,True,True,True,True,True,False
AL/BCDEK,F/IJK,1,True,True,True,True,True,True,True,False
ABCDL/EK,GL/FHIJK,1,True,True,True,True,True,True,True,True
ACDEKL/B,GKL/FHJ,1,True,True,False,False,True,True,True,True
AL/BCDEK,GHL/FIJK,1,True,True,True,True,True,True,True,True
ADL/BCEK,GHL/IK,1,True,True,True,True,True,True,True,True
BCEK/ADL,FHIJK/GL,1,True,True,True,True,True,True,True,True
BCDEK/AL,K/FGHJL,1,True,True,True,True,True,False,True,True
ADL/BCEK,GL/K,1,True,False,True,True,True,True,True,True
BCEK/ADL,H/GL,1,True,True,True,True,True,True,True,False
BCDEKL/A,GIKL/H,1,True,True,False,False,True,True,True,True
/ABCDEKL,I/FGHJKL,1,True,True,True,True,False,True,False,False
BCDEKL/A,GIJKL/FH,1,True,True,False,False,True,True,True,True
DEL/ABCK,I/K,1,True,False,True,True,True,True,True,False
L/ABCDEK,FGHJL/IK,1,True,True,True,True,False,True,True,True
ACDEKL/B,GKL/I,1,True,True,False,False,True,True,True,True
ADL/BCEK,FGHL/K,1,True,False,True,True,True,True,True,True
ABCEK/DL,K/FGHJL,1,True,True,True,True,True,False,True,True
CDEKL/AB,FGHJKL/I,1,True,True,False,False,True,True,True,True
DEKL/ABC,F/J,1,True,True,False,False,True,True,True,False
CDEKL/AB,GHKL/FIJ,1,True,True,False,False,True,True,True,True
ABCEK/DL,H/GL,1,True,True,True,True,True,True,True,False
CDEKL/AB,FH/,1,True,False,False,False,True,True,True,False
AB/CDEKL,/FGHIJKL,1,True,True,True,True,True,False,False,False
B/CDEKL,FIJ/GHKL,3,True,True,True,True,True,True,False,False
DEKL/BC,IJ/FH,1,True,True,False,False,True,True,True,False
DEKL/BC,IJ/F,1,True,True,False,False,True,True,True,False
B/CDEKL,FHIJ/GKL,3,True,True,True,True,True,True,False,False
BC/DEKL,I/GKL,3,True,True,True,True,True,True,False,False
BC/DEKL,FH/GKL,3,True,True,True,True,True,True,False,False
BC/DEKL,J/FGHIKL,3,True,True,True,True,True,True,False,False
DEKL/BC,GKL/IJ,1,True,True,False,False,True,True,True,True
BCEK/DL,IJK/FGHL,1,True,True,True,True,True,True,True,True
BC/DEKL,J/GIKL,3,True,True,True,True,True,True,False,False
DEKL/BC,GIKL/H,1,True,True,False,False,True,True,True,True
B/CDEKL,IJ/GKL,3,True,True,True,True,True,True,False,False
DL/BCEK,GL/IJK,1,True,True,True,True,True,True,True,True
DL/BCEK,FGHJL/K,1,True,False,True,True,True,True,True,True
